time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-10T14:56:38.050Z,27.0121,55.5816,10,4.3,mb,,87,2.133,0.47,us,us2000jni3,2019-04-25T15:32:04.040Z,"68km W of Qeshm, Iran",earthquake,5.3,1.9,0.103,27,reviewed,us,us
2019-02-10T10:54:48.300Z,27.0899,55.5458,10,5.4,mww,,28,2.216,0.65,us,us2000jfx7,2019-04-25T15:32:03.040Z,"73km W of Bandar 'Abbas, Iran",earthquake,7.3,1.8,0.059,28,reviewed,us,us
2019-02-09T07:19:46.900Z,27.9816,56.6045,10,4.1,mb,,94,3.045,0.88,us,us2000jng6,2019-04-25T15:31:58.040Z,"93km NNE of Bandar 'Abbas, Iran",earthquake,9.1,1.9,0.123,18,reviewed,us,us
2019-01-14T01:27:14.710Z,29.1458,58.2239,10,4,mb,,91,4.554,0.85,us,us1000is46,2019-04-02T20:51:09.040Z,"13km WNW of Bam, Iran",earthquake,8.4,1.9,0.196,7,reviewed,us,us
2018-12-31T06:44:14.190Z,28.1897,56.5665,10,4.3,mb,,94,3.247,0.82,us,us2000izdu,2019-03-05T17:46:40.040Z,"114km NNE of Bandar 'Abbas, Iran",earthquake,5.9,1.8,0.085,39,reviewed,us,us
2018-12-29T23:16:39.580Z,28.1781,55.5133,10,4.2,mb,,86,3.278,1.01,us,us2000iz1x,2019-03-05T17:46:38.040Z,"114km ESE of Darab, Iran",earthquake,8.7,1.9,0.086,38,reviewed,us,us
2018-12-24T23:16:47.310Z,30.8021,57.1969,10,4.2,mb,,84,5.559,0.54,us,us2000j30q,2019-03-05T17:46:32.040Z,"58km N of Kerman, Iran",earthquake,10.3,2,0.199,7,reviewed,us,us
2018-12-05T20:12:37.630Z,27.4715,56.2079,10,4.3,mb,,70,2.515,1,us,us1000i317,2019-02-16T19:52:24.040Z,"32km NNW of Bandar 'Abbas, Iran",earthquake,8.6,1.9,0.105,26,reviewed,us,us
2018-11-16T20:16:57.670Z,28.2663,58.2083,10,4.9,mb,,42,3.762,1.13,us,us1000hsxh,2019-01-30T18:36:20.040Z,"94km S of Bam, Iran",earthquake,7.2,1.8,0.054,116,reviewed,us,us
2018-11-06T04:14:42.910Z,28.1886,57.0433,10,4.4,mb,,110,3.316,0.74,us,us2000i7an,2019-01-21T16:42:56.040Z,"115km N of Minab, Iran",earthquake,8.6,1.8,0.083,42,reviewed,us,us
2018-10-04T17:26:07.970Z,29.18,57.1159,10,4.1,mb,,99,4.295,1.22,us,us1000hajx,2018-12-14T20:32:46.040Z,"32km ESE of Kuh Sefid, Iran",earthquake,11.1,1.9,0.112,22,reviewed,us,us
2018-10-03T23:53:02.240Z,30.7004,57.2754,10,4.3,mb,,63,5.577,0.85,us,us1000h6pj,2018-12-14T20:32:40.040Z,"49km NNE of Kerman, Iran",earthquake,6.3,1.8,0.096,31,reviewed,us,us
2018-09-30T13:23:27.740Z,28.9267,57.4876,10,4.7,mb,,129,4.127,0.63,us,us1000h4n3,2018-12-01T16:43:38.040Z,"77km ESE of Kuh Sefid, Iran",earthquake,4.7,1.9,0.108,26,reviewed,us,us
2018-09-27T00:14:08.420Z,27.0518,57.4244,10,4.1,mb,,127,2.367,0.82,us,us1000h327,2018-12-01T16:42:27.040Z,"35km ESE of Minab, Iran",earthquake,6.6,1.9,0.136,15,reviewed,us,us
2018-09-13T23:49:04.000Z,30.818,57.2739,10,4.3,mb,,72,5.499,0.79,us,us2000hed2,2018-11-21T18:19:10.040Z,"62km NNE of Kerman, Iran",earthquake,7.4,1.9,0.078,47,reviewed,us,us
2018-09-07T06:38:41.600Z,28.1691,59.4499,10,4.3,mb,,105,4.33,0.71,us,us2000hgmr,2018-11-14T17:40:17.040Z,"148km SE of Bam, Iran",earthquake,7.2,1.9,0.133,16,reviewed,us,us
2018-09-07T06:23:38.660Z,28.3261,59.3199,10,5.6,mww,,49,4.371,0.84,us,us2000ha5b,2018-11-14T17:40:17.040Z,"127km SE of Bam, Iran",earthquake,5.6,1.8,0.117,7,reviewed,us,us
2018-08-23T05:19:02.580Z,29.3346,56.815,86.9,4.6,mb,,35,0.82,0.86,us,us1000gfwd,2018-11-01T17:50:55.040Z,"6km NNE of Kuh Sefid, Iran",earthquake,7.2,6,0.062,79,reviewed,us,us
2018-08-04T09:35:58.400Z,29.1954,57.1893,10,4.4,mb,,75,4.323,0.9,us,us1000g3dj,2018-10-16T15:34:11.040Z,"38km ESE of Kuh Sefid, Iran",earthquake,6,1.8,0.066,66,reviewed,us,us
2018-07-30T10:38:55.540Z,28.2298,56.9732,10,4.3,mb,,102,3.342,1.41,us,us2000gh4j,2018-10-16T15:34:10.040Z,"117km S of Kuh Sefid, Iran",earthquake,8.9,1.9,0.102,27,reviewed,us,us
2018-07-22T20:39:17.390Z,30.4313,57.4531,10,5.6,mww,,61,16.388,0.89,us,us2000gbea,2018-10-04T14:15:30.040Z,"39km ENE of Kerman, Iran",earthquake,10.1,1.9,0.062,25,reviewed,us,us
2018-07-15T11:48:23.680Z,28.1362,57.6267,10,4.5,mb,,89,3.423,1.39,us,us2000g5l3,2018-10-02T16:40:42.040Z,"122km NNE of Minab, Iran",earthquake,9.7,1.9,0.086,40,reviewed,us,us
2018-07-15T01:51:58.630Z,26.6492,58.8271,10,4.6,mb,,103,2.91,0.49,us,us2000g5b1,2018-10-02T16:40:41.040Z,"182km ESE of Minab, Iran",earthquake,5.7,1.7,0.061,81,reviewed,us,us
2018-07-13T09:03:22.690Z,28.1088,57.2458,10,4.7,mb,,53,3.286,0.97,us,us2000g3u3,2018-10-02T16:40:37.040Z,"107km N of Minab, Iran",earthquake,7.8,1.9,0.043,163,reviewed,us,us
2018-07-04T00:57:42.170Z,27.9135,56.7946,10,4.3,mb,,96,3.003,0.88,us,us2000fwev,2018-09-27T14:03:39.040Z,"89km NNW of Minab, Iran",earthquake,6.5,1.9,0.084,40,reviewed,us,us
2018-06-27T23:46:32.450Z,27.5926,57.2231,10,4.3,mb,,81,2.79,0.82,us,us2000fpp4,2018-09-21T16:25:55.040Z,"51km NNE of Minab, Iran",earthquake,8,1.9,0.08,44,reviewed,us,us
2018-06-24T13:24:33.050Z,30.5901,56.9416,10,4.4,mb,,120,5.661,0.72,us,us2000frb8,2018-09-19T15:16:01.040Z,"36km NNW of Kerman, Iran",earthquake,8.9,1.9,0.241,5,reviewed,us,us
2018-06-13T16:47:25.210Z,31.4953,57.6508,10,4.6,mb,,56,4.818,0.91,us,us1000eq1h,2018-09-07T17:47:02.040Z,"84km ENE of Ravar, Iran",earthquake,7.7,1.9,0.06,81,reviewed,us,us
2018-06-02T02:40:53.240Z,27.6063,55.7726,10,3.9,mb,,77,2.678,0.84,us,us1000eh8q,2018-08-28T16:30:06.040Z,"68km NW of Bandar 'Abbas, Iran",earthquake,7.4,1.9,0.107,23,reviewed,us,us
2018-05-17T19:46:51.160Z,32.3614,58.9592,10,4.4,mb,,195,3.41,0.61,us,us1000e7hm,2018-08-15T19:46:56.040Z,"61km SSW of Birjand, Iran",earthquake,10.6,2,0.103,27,reviewed,us,us
2018-05-08T18:27:31.930Z,27.8837,57.7004,10,4.5,mb,,75,3.219,0.83,us,us1000e0uh,2018-08-08T15:19:38.040Z,"102km NE of Minab, Iran",earthquake,5.9,1.9,0.057,92,reviewed,us,us
2018-05-05T18:13:56.910Z,26.986,55.8186,10,4.3,mb,,85,2.061,0.55,us,us1000dyx2,2018-07-27T20:20:29.040Z,"45km W of Qeshm, Iran",earthquake,7,1.8,0.069,59,reviewed,us,us
2018-04-26T17:36:04.290Z,29.2152,55.7573,16.38,4.2,mb,,119,4.271,1.04,us,us1000dsup,2018-07-25T21:37:03.040Z,"27km SSE of Sirjan, Iran",earthquake,8.5,5.8,0.115,21,reviewed,us,us
2018-04-24T14:59:16.990Z,28.0516,57.2679,10,4.2,mb,,82,3.237,0.73,us,us1000dr9p,2018-07-25T21:36:24.040Z,"101km N of Minab, Iran",earthquake,9.2,1.9,0.147,13,reviewed,us,us
2018-04-22T23:44:26.260Z,31.4267,56.3093,10,4.3,mb,,67,5.798,0.88,us,us1000dqfc,2018-07-17T02:05:36.040Z,"50km WNW of Ravar, Iran",earthquake,6,1.9,0.075,50,reviewed,us,us
2018-04-22T12:35:46.220Z,31.3316,56.3354,10,4.4,mb,,84,5.83,0.68,us,us1000dqa6,2018-07-17T02:05:35.040Z,"45km W of Ravar, Iran",earthquake,5.8,1.9,0.066,66,reviewed,us,us
2018-04-21T20:03:52.600Z,31.3369,56.269,10,4.5,mb,,67,5.875,0.64,us,us1000dq0t,2018-07-17T02:05:34.040Z,"51km W of Ravar, Iran",earthquake,5,1.8,0.066,68,reviewed,us,us
2018-04-18T01:11:27.200Z,27.5734,56.6541,10,4.3,mb,,109,2.648,0.94,us,us2000e1xy,2018-07-17T02:05:29.040Z,"56km NE of Bandar 'Abbas, Iran",earthquake,8.2,1.9,0.072,54,reviewed,us,us
2018-04-11T17:04:06.550Z,30.7952,57.1329,10,4.1,mb,,94,5.605,1.1,us,us2000dy62,2018-07-07T02:25:18.040Z,"54km E of Zarand, Iran",earthquake,5.6,2,0.123,18,reviewed,us,us
