date,time,latitude,longitude,depth,mag
2017/12/12,9:49:42 PM,30.8681,57.2454,10,5
2017/12/12,9:46:41 PM,30.796,57.2894,10,4.8
2017/12/12,9:41:31 PM,30.8275,57.2982,8,6
2017/12/12,4:50:22 PM,30.8132,57.3725,10,4.5
2017/12/12,1:22:39 PM,30.6696,57.2864,10,4.4
2017/12/12,9:50:30 AM,30.6551,57.4472,10,4.4
2017/12/12,9:42:20 AM,31.0501,57.2259,10,4.4
2017/12/12,8:43:18 AM,30.7372,57.2795,12,6
2017/12/08,12:38:30 PM,30.7512,57.2633,10,4.2
2017/12/06,1:29:52 AM,30.7074,57.2415,10,4.1
2017/12/05,9:23:43 AM,30.7157,57.279,8.44,4.3
2017/12/03,2:47:27 AM,30.7947,57.2935,10,4.3
2017/12/02,10:47:04 AM,30.7254,57.3614,10,5.2
2017/12/01,11:23:16 PM,30.6818,57.4003,10,4.4
2017/12/01,7:29:35 AM,30.7025,57.3126,10,4.2
2017/12/01,3:35:02 AM,30.7151,57.385,10,5.4
2017/12/01,2:43:27 AM,30.6973,57.4397,10,5.1
2017/12/01,2:32:46 AM,30.7464,57.307,9,6.1
2017/11/23,2:47:22 AM,28.0121,55.4169,10,4
2017/11/14,7:48:11 PM,32.9038,59.4679,10,4.4
2017/11/11,2:06:20 AM,27.4673,56.5657,10,4.3
2017/11/11,12:37:02 AM,27.5505,56.6715,10,4
2017/10/23,12:24:14 AM,27.9254,57.0544,10,5.3
2017/09/30,4:12:51 AM,27.8864,56.8156,10,4.2
2017/09/29,6:58:15 AM,28.2394,55.3052,10,4.2
2017/09/21,7:28:40 PM,30.7124,57.4099,10,4.5
2017/09/20,6:30:56 AM,27.9241,56.8128,24.32,4.4
2017/09/20,12:08:16 AM,30.7208,57.4066,10,5
2017/09/05,10:20:35 PM,32.6746,59.1001,10,4.7
2017/09/01,6:10:43 AM,27.8651,57.1309,10,4
2017/08/31,3:08:41 AM,27.847,57.0542,10,4.4
2017/08/31,1:30:28 AM,27.902,56.9464,10,5.2
2017/08/26,5:11:17 PM,31.5362,56.1725,10,4
2017/08/14,11:14:10 AM,27.4725,56.9824,10,4.5
2017/08/13,9:34:45 AM,27.4086,56.2313,10,4.5
2017/08/06,9:24:39 AM,26.6317,55.428,10,3.9
2017/07/23,5:32:14 PM,30.1823,57.6157,10,5.2
2017/07/15,6:18:16 PM,28.8924,57.7056,10,4
2017/07/13,1:04:20 AM,26.6418,57.946,10,4.1
2017/06/14,10:14:46 AM,26.8932,55.8048,10,4
2017/06/09,10:22:36 AM,27.6107,55.2718,10,4.4
2017/05/23,1:31:33 AM,27.5651,55.8112,10,4.2
2017/04/11,5:16:25 AM,30.806,56.6074,10,4.1
2017/04/01,7:59:49 PM,29.4447,56.775,99.29,4.2
2017/03/25,7:38:37 AM,28.2712,57.0927,10,4.5
2017/01/28,12:18:26 AM,29.2466,56.2697,10,4.1
2017/01/25,5:41:42 AM,28.5733,56.8983,10,4.9
2017/01/21,8:23:17 AM,29.2091,56.5135,54.21,4.5
2016/12/27,12:42:59 PM,28.1988,57.3713,10,4.4
2016/12/27,12:41:26 PM,28.0815,57.2281,10,4.6
2016/12/27,12:26:36 PM,28.1225,57.2505,10,4.4
2016/12/10,5:07:53 PM,28.313,57.0158,2.04,4.2
2016/12/05,2:24:53 PM,27.7028,59.1943,62.42,5.1
2016/12/01,9:21:44 AM,30.3313,57.6002,10,4.7
2016/11/09,1:15:22 AM,28.2167,57.3619,10,4.5
2016/11/09,1:05:31 AM,28.1942,57.3139,10,4
2016/10/31,1:44:02 PM,30.7332,56.5087,10,4.3
2016/10/28,2:02:28 PM,30.6891,56.3947,17.67,4.8
2016/10/20,3:10:31 PM,30.7819,56.519,10,4.8
2016/09/21,7:41:13 AM,27.0043,59.7705,10,4.5
2016/07/24,1:26:33 PM,28.155,57.429,10,4.5
2016/07/14,4:18:00 PM,27.6492,56.462,26.64,4.4
2016/07/06,11:58:27 PM,27.657,56.429,16.4,5.1
2016/06/26,5:38:55 AM,28.54,57.16,14,4.3
2016/06/17,10:03:47 AM,30.1856,57.5551,10,4.4
2016/06/04,9:54:13 AM,30.06,57.61,8,4.3
2016/05/29,5:18:33 PM,27.9025,55.1466,37.82,4.5
2016/05/20,11:59:15 AM,28.291,58.563,98.9,4.4
2016/05/03,10:41:00 AM,28.021,56.345,10,4.3
2016/04/24,3:18:14 PM,27.8307,55.1131,10,4.6
2016/02/01,1:46:34 PM,32.4299,55.533,10,4.3
2016/01/22,8:51:47 PM,28.3453,55.2943,19.54,5.1
2016/01/11,3:53:36 PM,27.7612,57.3575,10,4.4
2016/01/04,3:05:48 AM,26.6051,55.4464,10,4.4
2016/01/01,11:17:29 PM,26.5711,55.1188,10,4.3
2015/12/31,3:50:30 AM,31.09,57.08,8,3.9
2015/12/27,1:52:01 AM,27.8162,57.9299,10,4.1
2015/10/29,3:48:21 PM,32.0055,56.1417,15.24,4.4
2015/10/22,5:14:57 AM,32.01,56.11,9,4.2
2015/09/11,2:41:36 AM,27.4713,56.5586,10,4.1
2015/09/11,2:38:18 AM,27.4589,56.6124,10.51,4.2
2015/09/08,1:18:28 AM,28.584,57.237,10,4
2015/08/27,12:24:22 AM,26.541,55.877,11,4.2
2015/08/21,1:21:16 AM,30.042,57.643,8,3.9
2015/07/31,10:06:31 AM,30.0391,57.5809,11,5.2
2015/07/25,4:10:41 PM,30.0856,57.6938,4.08,4.8
2015/07/01,6:43:29 AM,28.1277,57.4498,50.38,4.4
2015/06/12,6:57:52 AM,28.253,57.211,8,4.5
2015/06/07,11:56:04 PM,27.7988,55.1304,10,4
2015/05/13,8:27:17 PM,27.8642,57.5417,10,4.3
2015/05/08,3:27:01 AM,32.145,55.827,5.9,4.1
2015/04/20,8:37:33 PM,28.509,57.185,10,4.2
2015/04/01,4:59:03 PM,29.2003,59.6857,10,4.7
2015/03/30,7:04:04 AM,32.138,55.807,8,4.3
2015/03/29,4:16:19 AM,27.024,57.638,14.2,4.9
2015/03/10,9:32:29 PM,26.475,58.108,20.5,4.1
2015/03/08,6:43:32 PM,30.03,56.53,12,3.9
2015/03/05,10:54:49 PM,28.0428,56.8139,10,5.2
2015/03/05,7:31:12 PM,27.5409,56.1407,10,4
2015/02/18,5:28:53 PM,27.417,56.253,10,4.1
2015/02/17,1:41:38 PM,30.0389,57.6596,10,4.5
2015/02/13,1:00:44 AM,30.178,57.584,10,3.9
2015/02/02,2:07:40 PM,27.4635,56.1742,10,4.3
2015/01/27,9:07:24 PM,27.464,56.19,10,4.3
2015/01/25,8:11:19 PM,27.46,56.19,9,5
2014/12/08,10:34:05 PM,28.145,56.955,12,4
2014/12/08,6:38:18 AM,27.506,56.209,14.2,4.3
2014/12/05,12:20:27 AM,28.409,57.0677,10,4.2
2014/12/03,9:22:04 PM,28.337,55.553,14.3,4.1
2014/11/23,1:18:00 PM,26.47,56.59,16,4.9
2014/11/16,5:13:04 AM,28.339,56.518,10,4.7
2014/11/15,7:56:21 PM,28.239,55.381,15,4.7
2014/11/11,10:05:42 AM,27.897,55.937,8,5
2014/11/10,1:52:37 PM,27.9023,55.857,10,5.4
2014/11/06,6:43:30 PM,27.064,55.123,1.5,4.8
2014/10/24,12:38:56 PM,27.772,57.4,23.8,5.3
2014/10/21,10:47:03 PM,27.543,57.465,24.6,4.3
2014/10/15,9:31:44 PM,28.262,55.408,8.3,4.4
2014/09/24,6:44:11 PM,27.729,57.649,9.6,4.3
2014/09/24,2:25:45 PM,26.867,55.7885,10,4.6
2014/09/24,2:22:22 PM,26.8919,55.7594,10,4.1
2014/09/22,6:26:07 AM,30.6864,57.0986,20.12,3.8
2014/09/13,7:42:44 PM,32.305,55.825,5,4.2
2014/09/05,1:13:59 AM,27.672,56.768,13.3,4
2014/08/31,12:14:42 PM,27.704,57.6986,10,4.4
2014/07/26,10:48:40 AM,26.724,57.192,9,3.8
2014/07/22,3:22:39 PM,27.6039,57.3339,10,5.1
2014/07/05,3:11:48 AM,28.35,55.06,14,4.7
2014/07/03,4:20:01 AM,26.857,55.338,9,4.1
