date,latitude,longitude,depth,mag
2017/12/05 9:23:43,30.7157,57.279,8.44,4.3
2017/12/03 2:47:27,30.7947,57.2935,10,4.3
2017/12/02 10:47:04,30.7254,57.3614,10,5.2
2017/12/01 23:23:16,30.6818,57.4003,10,4.4
2017/12/01 7:29:35,30.7025,57.3126,10,4.2
2017/12/01 3:35:02,30.7151,57.385,10,5.4
2017/12/01 2:43:27,30.6973,57.4397,10,5.1
2017/12/01 2:32:46,30.7464,57.307,9,6.1
2017/11/23 2:47:22,28.0121,55.4169,10,4
2017/11/14 19:48:11,32.9038,59.4679,10,4.4
2017/11/11 2:06:20,27.4673,56.5657,10,4.3
2017/11/11 0:37:02,27.5505,56.6715,10,4
2017/10/23 0:24:14,27.9254,57.0544,10,5.3
2017/09/30 4:12:51,27.8864,56.8156,10,4.2
2017/09/29 6:58:15,28.2394,55.3052,10,4.2
2017/09/21 19:28:40,30.7124,57.4099,10,4.5
2017/09/20 6:30:56,27.9241,56.8128,24.32,4.4
2017/09/20 0:08:16,30.7208,57.4066,10,5
2017/09/05 22:20:35,32.6746,59.1001,10,4.7
2017/09/01 6:10:43,27.8651,57.1309,10,4
2017/08/31 3:08:41,27.847,57.0542,10,4.4
2017/08/31 1:30:28,27.902,56.9464,10,5.2
2017/08/26 17:11:17,31.5362,56.1725,10,4
2017/08/14 11:14:10,27.4725,56.9824,10,4.5
2017/08/13 9:34:45,27.4086,56.2313,10,4.5
2017/08/06 9:24:39,26.6317,55.428,10,3.9
2017/07/23 17:32:14,30.1823,57.6157,10,5.2
2017/07/15 18:18:16,28.8924,57.7056,10,4
2017/07/13 1:04:20,26.6418,57.946,10,4.1
2017/06/14 10:14:46,26.8932,55.8048,10,4
2017/06/09 10:22:36,27.6107,55.2718,10,4.4
2017/05/23 1:31:33,27.5651,55.8112,10,4.2
2017/04/11 5:16:25,30.806,56.6074,10,4.1
2017/04/01 19:59:49,29.4447,56.775,99.29,4.2
2017/03/25 7:38:37,28.2712,57.0927,10,4.5
2017/01/28 0:18:26,29.2466,56.2697,10,4.1
2017/01/25 5:41:42,28.5733,56.8983,10,4.9
2017/01/21 8:23:17,29.2091,56.5135,54.21,4.5
2016/12/27 12:42:59,28.1988,57.3713,10,4.4
2016/12/27 12:41:26,28.0815,57.2281,10,4.6
2016/12/27 12:26:36,28.1225,57.2505,10,4.4
2016/12/10 17:07:53,28.313,57.0158,2.04,4.2
2016/12/05 14:24:53,27.7028,59.1943,62.42,5.1
2016/12/01 9:21:44,30.3313,57.6002,10,4.7
2016/11/09 1:15:22,28.2167,57.3619,10,4.5
2016/11/09 1:05:31,28.1942,57.3139,10,4
2016/10/31 13:44:02,30.7332,56.5087,10,4.3
2016/10/28 14:02:28,30.6891,56.3947,17.67,4.8
2016/10/20 15:10:31,30.7819,56.519,10,4.8
2016/09/21 7:41:13,27.0043,59.7705,10,4.5
2016/07/24 13:26:33,28.155,57.429,10,4.5
2016/07/14 16:18:00,27.6492,56.462,26.64,4.4
2016/07/06 23:58:27,27.657,56.429,16.4,5.1
2016/06/26 5:38:55,28.54,57.16,14,4.3
2016/06/17 10:03:47,30.1856,57.5551,10,4.4
2016/06/04 9:54:13,30.06,57.61,8,4.3
2016/05/29 17:18:33,27.9025,55.1466,37.82,4.5
2016/05/20 11:59:15,28.291,58.563,98.9,4.4
2016/05/03 10:41:00,28.021,56.345,10,4.3
2016/04/24 15:18:14,27.8307,55.1131,10,4.6
2016/02/01 13:46:34,32.4299,55.533,10,4.3
2016/01/22 20:51:47,28.3453,55.2943,19.54,5.1
2016/01/11 15:53:36,27.7612,57.3575,10,4.4
2016/01/04 3:05:48,26.6051,55.4464,10,4.4
2016/01/01 23:17:29,26.5711,55.1188,10,4.3
2015/12/31 3:50:30,31.09,57.08,8,3.9
2015/12/27 1:52:01,27.8162,57.9299,10,4.1
2015/10/29 15:48:21,32.0055,56.1417,15.24,4.4
2015/10/22 5:14:57,32.01,56.11,9,4.2
2015/09/11 2:41:36,27.4713,56.5586,10,4.1
2015/09/11 2:38:18,27.4589,56.6124,10.51,4.2
2015/09/08 1:18:28,28.584,57.237,10,4
2015/08/27 0:24:22,26.541,55.877,11,4.2
2015/08/21 1:21:16,30.042,57.643,8,3.9
2015/07/31 10:06:31,30.0391,57.5809,11,5.2
2015/07/25 16:10:41,30.0856,57.6938,4.08,4.8
2015/07/01 6:43:29,28.1277,57.4498,50.38,4.4
